Wall time,Step,Value
1744458161.759412,157696,-205.59317016601562
1744458185.7971816,159744,-204.8688201904297
1744458209.7971964,161792,-200.03575134277344
1744458233.9491231,163840,-194.46588134765625
1744458258.0564115,165888,-189.21484375
1744458282.483413,167936,-188.18006896972656
1744458306.9155705,169984,-188.5455780029297
1744458330.9734862,172032,-188.3472900390625
1744458354.9410965,174080,-188.97532653808594
1744458378.9399638,176128,-185.8306121826172
1744458403.0020843,178176,-184.36399841308594
1744458427.1036258,180224,-178.87652587890625
1744458451.2586663,182272,-175.91343688964844
1744458475.4239478,184320,-173.63279724121094
1744458499.5128133,186368,-173.49423217773438
1744458523.6499803,188416,-172.23309326171875
1744458547.802184,190464,-173.18565368652344
1744458571.9338422,192512,-170.9451141357422
1744458596.1094143,194560,-170.27536010742188
1744458620.2561438,196608,-169.38954162597656
1744458644.3884864,198656,-168.2563018798828
1744458668.5844567,200704,-168.40916442871094
1744458692.986456,202752,-166.64878845214844
1744458717.274251,204800,-168.65914916992188
1744458741.637248,206848,-167.58302307128906
1744458765.8970115,208896,-166.85121154785156
1744458790.076895,210944,-168.3182373046875
1744458814.2543168,212992,-169.21270751953125
1744458838.4367623,215040,-171.46571350097656
1744458862.6722202,217088,-173.29904174804688
1744458886.9211967,219136,-172.1061248779297
1744458911.23781,221184,-172.3643798828125
1744458935.4949358,223232,-168.74644470214844
1744458959.7208781,225280,-170.56753540039062
1744458983.892727,227328,-172.14144897460938
1744459008.2657368,229376,-174.6152801513672
1744459032.7643292,231424,-175.59286499023438
1744459057.0883126,233472,-174.5167694091797
1744459081.4761631,235520,-172.7083740234375
1744459105.9609585,237568,-172.94137573242188
1744459130.2488415,239616,-172.42335510253906
1744459154.5499306,241664,-172.1808319091797
1744459178.8287938,243712,-170.2003631591797
1744459203.1024275,245760,-171.98794555664062
1744459227.6613142,247808,-171.88589477539062
1744459251.9698505,249856,-169.2996063232422
1744459276.409045,251904,-168.7640838623047
1744459300.8501348,253952,-168.25169372558594
1744459325.1819758,256000,-168.7729034423828
1744459349.6169302,258048,-168.53965759277344
1744459373.8216612,260096,-164.5364532470703
1744459398.1178923,262144,-164.58465576171875
1744459422.5259528,264192,-166.63502502441406
1744459446.9616454,266240,-164.28208923339844
1744459471.410634,268288,-164.1321563720703
1744459495.7520838,270336,-163.08912658691406
1744459520.139886,272384,-160.91229248046875
1744459544.5576532,274432,-160.1920928955078
1744459568.8492193,276480,-156.65126037597656
1744459593.0810304,278528,-155.33213806152344
1744459617.5532918,280576,-156.2459716796875
1744459641.8728871,282624,-156.81381225585938
1744459666.2321136,284672,-155.26492309570312
1744459690.7269301,286720,-155.7549285888672
1744459715.094674,288768,-155.79498291015625
1744459739.4884527,290816,-154.74806213378906
1744459763.9060943,292864,-156.93382263183594
1744459788.241181,294912,-157.95236206054688
1744459812.6010528,296960,-155.5475311279297
1744459836.85813,299008,-155.4618377685547
1744459861.1358602,301056,-158.6767578125
1744459885.6004186,303104,-157.305908203125
1744459910.0272772,305152,-157.9088897705078
1744459934.5415058,307200,-155.62124633789062
1744459958.9501681,309248,-157.64881896972656
1744459983.4045858,311296,-156.86822509765625
1744460007.809967,313344,-155.21682739257812
1744460032.2260907,315392,-154.99497985839844
1744460056.6391985,317440,-155.58982849121094
1744460081.0268886,319488,-153.90017700195312
1744460105.4037929,321536,-154.20098876953125
1744460129.708475,323584,-154.49075317382812
1744460154.173057,325632,-157.5870819091797
1744460178.669872,327680,-158.6781005859375
1744460203.3217034,329728,-157.62570190429688
1744460227.7993517,331776,-157.11863708496094
1744460252.1396623,333824,-155.9496307373047
1744460276.5623605,335872,-157.82086181640625
1744460301.0099363,337920,-157.91644287109375
1744460325.43245,339968,-158.65359497070312
1744460349.9337137,342016,-157.9684600830078
1744460374.3251364,344064,-157.1063232421875
1744460398.7774072,346112,-155.64260864257812
1744460423.3281853,348160,-157.5678253173828
1744460447.6993897,350208,-157.79006958007812
1744460472.150423,352256,-160.07325744628906
1744460496.644283,354304,-159.3507080078125
1744460521.2859356,356352,-160.8426971435547
1744460545.9519188,358400,-161.5621337890625
1744460570.3890028,360448,-163.12908935546875
1744460595.0040715,362496,-161.07688903808594
1744460619.5553582,364544,-162.78475952148438
